Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1.jpg,52.2007,255,31.6933,0.6531,1.4010,0.7138,0.8413
1.jpg,40.8741,255,32.2248,0.4946,1.6153,0.6191,0.8612
1.jpg,0.1231,255,0.9924,1.0000,1.0000,1.0000,1.0000
1.jpg,20.4371,255,18.3806,0.7602,1.8241,0.5482,0.9459
1.jpg,76.4543,255,33.1819,0.8726,1.0413,0.9603,0.9359
1.jpg,0.1231,255,0.9924,1.0000,1.0000,1.0000,1.0000
1.jpg,64.0197,255,29.5029,0.9243,1.0658,0.9383,0.9489
1.jpg,60.4494,255,29.2974,0.8850,1.0399,0.9616,0.9415
1.jpg,1.7236,255,4.8770,0.9106,1.8851,0.5305,0.8750
1.jpg,56.8790,255,32.3951,0.6811,1.2890,0.7758,0.8595
1.jpg,0.4925,255,3.0977,0.6449,4.0000,0.2500,1.0000
1.jpg,331.7944,255,120.2373,0.2884,1.3347,0.7492,0.7600
1.jpg,34.9646,255,29.2122,0.5149,1.2349,0.8098,0.7738
1.jpg,63.8966,255,29.1271,0.9464,1.1152,0.8967,0.9647
1.jpg,0.8618,255,3.3884,0.9433,1.9357,0.5166,0.9333
1.jpg,9.7261,255,15.1273,0.5341,3.0891,0.3237,0.7560
1.jpg,2.7085,255,6.5712,0.7882,1.1090,0.9017,0.8148
1.jpg,30.4094,255,20.9116,0.8739,1.3798,0.7247,0.9064
1.jpg,27.3315,255,22.8113,0.6600,1.1070,0.9034,0.8315
1.jpg,0.3693,255,2.1904,0.9674,3.0000,0.3333,1.0000
1.jpg,86.0572,255,34.9965,0.8830,1.0664,0.9378,0.9408
1.jpg,5.1708,255,10.7465,0.5627,2.6545,0.3767,0.6942
1.jpg,112.2807,255,52.0235,0.5213,1.5050,0.6645,0.8099
1.jpg,48.1379,255,28.5956,0.7398,1.1377,0.8790,0.8856
1.jpg,0.1231,255,0.9924,1.0000,1.0000,1.0000,1.0000
1.jpg,101.5697,255,37.1869,0.9230,1.0383,0.9631,0.9604
1.jpg,0.8618,255,3.6790,0.8001,1.6678,0.5996,0.7778
1.jpg,76.7005,255,32.5653,0.9089,1.0881,0.9190,0.9461
1.jpg,34.7184,255,22.8964,0.8322,1.5228,0.6567,0.9141
1.jpg,15.0200,255,14.3404,0.9178,1.1495,0.8699,0.9037
1.jpg,224.1921,255,65.0309,0.6662,1.6425,0.6088,0.9013
1.jpg,1.2311,255,3.6790,1.0000,1.5512,0.6447,0.9091
1.jpg,102.1853,255,38.7607,0.8547,1.0981,0.9106,0.9357
1.jpg,5.2939,255,8.5561,0.9087,1.3961,0.7163,0.8776
1.jpg,0.4925,255,1.9849,1.0000,1.0000,1.0000,1.0000
1.jpg,80.3940,255,33.0968,0.9223,1.1795,0.8478,0.9610
1.jpg,98.1225,255,37.2721,0.8876,1.1382,0.8786,0.9454
1.jpg,0.3693,255,1.9849,1.0000,1.4638,0.6831,0.8571
1.jpg,88.2733,255,38.8459,0.7351,1.4458,0.6916,0.8901
1.jpg,25.2385,255,18.2250,0.9549,1.0877,0.9194,0.9318
1.jpg,110.1878,255,38.8811,0.9159,1.0692,0.9353,0.9598
1.jpg,56.0172,255,27.2274,0.9496,1.0232,0.9773,0.9599
1.jpg,14.1582,255,16.4456,0.6578,1.3303,0.7517,0.8185
1.jpg,0.7387,255,2.9773,1.0000,1.8091,0.5528,0.8000
1.jpg,20.3139,255,16.2401,0.9679,1.2312,0.8122,0.9429
1.jpg,76.2081,255,32.8913,0.8852,1.0536,0.9491,0.9372
1.jpg,73.0071,255,34.2948,0.7800,1.1952,0.8367,0.8844
1.jpg,38.0425,255,23.4279,0.8710,1.1109,0.9002,0.9183
1.jpg,70.9141,255,31.0767,0.9227,1.2698,0.7875,0.9552
1.jpg,1.4774,255,4.7919,0.8085,3.0000,0.3333,1.0000
1.jpg,40.5048,255,24.2999,0.8620,1.3136,0.7613,0.9229
1.jpg,0.1231,255,0.9924,1.0000,1.0000,1.0000,1.0000
1.jpg,43.3364,255,24.1297,0.9353,1.0341,0.9670,0.9475
1.jpg,0.2462,255,1.6942,1.0000,2.0000,0.5000,1.0000
1.jpg,7.2638,255,9.7540,0.9594,1.4641,0.6830,0.8939
1.jpg,56.2635,255,27.5180,0.9337,1.0459,0.9561,0.9511
1.jpg,114.3737,255,40.5753,0.8730,1.0454,0.9566,0.9417
1.jpg,94.7984,255,37.9738,0.8261,1.1009,0.9084,0.9333
1.jpg,51.3389,255,51.9384,0.2392,1.4879,0.6721,0.5736
1.jpg,37.1807,255,23.7186,0.8305,1.2173,0.8215,0.9055
1.jpg,255.0939,255,77.5567,0.5329,1.2486,0.8009,0.8566
1.jpg,36.6882,255,22.5206,0.9090,1.1921,0.8389,0.9327
1.jpg,37.9194,255,22.9317,0.9061,1.1989,0.8341,0.9376
1.jpg,214.2198,255,64.7901,0.6413,1.8766,0.5329,0.8967
